"","PDB_ID","protein1_name","protein2_name","protein1_synonyms","protein2_synonyms","species1_name","species2_name","species1_TaxID","species2_TaxID","Type","Value","Unit"
"1","1axi","GROWTH HORMONE","GROWTH HORMONE RECEPTOR","HGH","HGHBP","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.4e-08,"M"
"2","1b6c","FK506-BINDING PROTEIN","TGF-B SUPERFAMILY RECEPTOR TYPE I","FKBP12","SERINE","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.8e-07,"M"
"3","1buh","PROTEIN (CDK2 HUMAN)","PROTEIN (CKSHS1 HUMAN)","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7.7e-08,"M"
"4","1cn4","PROTEIN (ERYTHROPOIETIN RECEPTOR)","PROTEIN (ERYTHROPOIETIN)","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1e-06,"M"
"5","1djs","PROTEIN (FIBROBLAST GROWTH FACTOR RECEPTOR 2)","PROTEIN (FIBROBLAST GROWTH FACTOR 1)","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",4.1e-08,"M"
"6","1du3","DEATH RECEPTOR 5","TNF-RELATED APOPTOSIS INDUCING LIGAND","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.59e-08,"M"
"7","1e4k","FC FRAGMENT OF HUMAN IGG1","LOW AFFINITY IMMUNOGLOBULIN GAMMA FC RECEPTOR III","IGG1-FC","CD16","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.7e-06,"M"
"8","1e96","RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1","NEUTROPHIL CYTOSOL FACTOR 2 (NCF-2) TPR DOMAIN","RAC1","P67PHOX","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",2.7e-06,"M"
"9","1eer","ERYTHROPOIETIN","ERYTHROPOIETIN RECEPTOR","NA","EPOBP","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1e-09,"M"
"10","1f3v","TUMOR NECROSIS FACTOR RECEPTOR TYPE 1 ASSOCIATED DEATH","TUMOR NECROSIS FACTOR RECEPTOR-ASSOCIATED PROTEIN","TRADD,TNFR1-ASSOCIATED DEATH DOMAIN PROTEIN","TRAF2","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",7.8e-06,"M"
"11","1flt","VASCULAR ENDOTHELIAL GROWTH FACTOR","FMS-LIKE TYROSINE KINASE 1","VEGF,VPF","FLT-1,VGR1","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.356e-09,"M"
"12","1gng","GLYCOGEN SYNTHASE KINASE-3 BETA","FRATTIDE","GSK3B","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.9e-08,"M"
"13","1go4","MITOTIC SPINDLE ASSEMBLY CHECKPOINT PROTEIN MAD2A","MITOTIC SPINDLE ASSEMBLY CHECKPOINT PROTEIN MAD1","HSMAD2,MITOTIC ARREST DEFICIENT 2-LIKE PROTEIN 1,MAD2-LIKE","MITOTIC ARREST DEFICIENT 1-LIKE PROTEIN 1,MAD1-LIKE PROTEIN","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",1.04e-06,"M"
"14","1grn","PROTEIN (GTP BINDING PROTEIN)","PROTEIN (RHO GTPASE ACTIVATING PROTEIN)","NA","NA","HOMO SAPIENS","HOMO SAPIENS","9606","9606","Kd",3.88e-07,"M"
