Pathways	Common-Name	Genes of pathway	Accession-1
PWY-5951	(<i>R,R</i>)-butanediol biosynthesis	YAL060W	YAL060W
PWY3O-246	(R,R)-butanediol degradation	YAL060W	YAL060W
PWY-6773	1,3-&beta;-D-glucan biosynthesis	YGR032W // YLR342W // G3O-32970 // G3O-34294	YGR032W // YLR342W // YMR306W // YPR165W
PWY-7337	10-<i>cis</i>-heptadecenoyl-CoA degradation	YIL160C // YGL205W // YNL202W // YLR284C // YOR180C // YKR009C	YIL160C // YGL205W // YNL202W // YLR284C // YOR180C // YKR009C
PWY-7339	10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent)	YIL160C // YKR009C	YIL160C // YKR009C
PWY-7338	10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent)	YIL160C // YGL205W // YNL202W // YLR284C // YOR180C // YKR009C	YIL160C // YGL205W // YNL202W // YLR284C // YOR180C // YKR009C
PWY-6361	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)	YDR315C // G3O-37 // G3O-32 // G3O-24	YDR315C // YLR410W // YDR017C // YDR173C
PWY-5084	2-ketoglutarate dehydrogenase complex	G3O-30495 // YDR148C // YIL125W // YFL018C	YFR049W // YDR148C // YIL125W // YFL018C
PWY-6164	3-dehydroquinate biosynthesis I	YDR127W // YBR249C // YDR035W	YDR127W // YBR249C // YDR035W
PWY-6352	3-phosphoinositide biosynthesis	YNL267W // G3O-343 // G3O-356 // YPR113W // YDR208W // G3O-32431 // G3O-32328 // G3O-29061 // G3O-29083 // YLR240W // G3O-34019 // YOR109W // G3O-65 // YFR019W // G3O-32452 // G3O-33309 // G3O-33086 // G3O-30472	YNL267W // YJL100W // YLR305C // YPR113W // YDR208W // YLR360W // YLR211C // YBR097W // YBR128C // YLR240W // YPL120W // YOR109W // YNL106C // YFR019W // YLR386W // YNL325C // YNL054W // YFR021W
PWY-7282	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	YBR035C // G3O-30409 // G3O-33466 // G3O-34143 // G3O-34260 // G3O-34264 // G3O-10 // G3O-33340 // G3O-30671	YBR035C // YFL058W // YOL055C // YPL258C // YPR121W // YPR127W // YEL029C // YNR027W // YGL186C
PWY-6543	4-aminobenzoate biosynthesis	YNR033W // G3O-84	YNR033W // YMR289W
PWY-6536	4-aminobutyrate degradation	YGR019W // YBR006W	YGR019W // YBR006W
PWY-5754	4-hydroxybenzoate biosynthesis I (eukaryotes)	YGL202W // G3O-32806	YGL202W // YMR110C
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	YGL202W	YGL202W
PWY-7353	4-methyl-5(&beta;-hydroxyethyl)thiazole salvage	YPL214C	YPL214C
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	YMR300C // YDR408C // YGR061C // YGL234W	YMR300C // YDR408C // YGR061C // YGL234W
PWY-7942	5-oxo-L-proline metabolism	G3O-31973 // G3O-30324	YKL215C // YER163C
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	YNL256W // YGR267C	YNL256W // YGR267C
